,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
183,"RT @LPDWien: Am Stephansplatz beginnt um 14:00 Uhr eine ordnungsgemäß angezeigte Kundgebung. Da es unsere gesetzliche Aufgabe ist, die Abha…","                               :                       äß                      .                                     ,         …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
184,Am Stephansplatz beginnt um 14:00 Uhr eine ordnungsgemäß angezeigte Kundgebung. Da es unsere gesetzliche Aufgabe is… https://t.co/V0UKykXB1t,                              :                       äß                      .                                    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
185,"RT @dejavu_vienna: letztes Jahr wurde n Kollege von mir nicht auf den Stephansplatz gelassen, weil er wie ein (wörtl. Zitat von Polizist) ""…","                                                                          ,                 ( ö   .                   ) ""…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
186,"12:10 Mittlerweile sind rund um den #Stephansplatz, sowie zwischen der „linken“ und „rechten“ Kundgebung Sperrgitte… https://t.co/iZ2H84DHdZ","  :                                 #             ,                    „      “     „       “                      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
187,@nofundis_wien @anarchismus_at Am Wiener Stephansplatz soll heute der rechts-katholische “Marsch für die Familie” s… https://t.co/SAbqjDXdnv, _      _                                                -            “        ü             ”  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
188,@piratgizmo @msulzbacher @_schwarzeKatze @rosaantifawien @antifa_wienwest Am Wiener Stephansplatz soll heute der re… https://t.co/IuLmXFVIQt,    @_                 _                                                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
189,"Ab 13:30 versammeln sich erzkatholische Fundis am #Stephansplatz, um anlässlich der #ViennaPride ihren Queer-Hass z… https://t.co/2Aum67qvwS","     :                                            #             ,       ä           #                       -      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
190,"letztes Jahr wurde n Kollege von mir nicht auf den Stephansplatz gelassen, weil er wie ein (wörtl. Zitat von Polizi… https://t.co/grzk2B5RN7","                                                                         ,                 ( ö   .                 …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
191,11:11 Für den Schutz angemeldeter Kundgebungen in der Innenstadt beginnt die Polizei im Bereich #Stephansplatz mit… https://t.co/VpbIEmhyl1,  :    ü                                                                                        #                 …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
193,Am Wiener Stephansplatz soll heute der rechts-katholische “Marsch für die Familie” stattfinden – als Gegenveranstal… https://t.co/nTsbECBQYo,                                             -            “        ü             ”             –                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
195,"RT @rohrspatzenpost: und liebe allys: euer treffpunkt ist um 13:30 am stephansplatz bei der gegendemo zum ""marsch für das leben""

liebe ter…","                :                          :                                          ""        ü           ""

         …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
196,Änderungsantrag zur Beschlussdrucksache 0687/2022 „Ausbau der Geibelstraße zwischen Rudolf- von Bennigsen-Ufer und… https://t.co/LdHKtlkbzK,ä                                           /     „                     ß                 -              -        …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
197,Erneuerung des Rasens auf dem Stephansplatz Sitzung des Stadtbezirksrates Südstadt-Bult am 16.02.2022 TOP 10.2.4.… https://t.co/69e0z8JL7I,                                                                           ü      -          .  .           . . .…      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
200,"und liebe allys: euer treffpunkt ist um 13:30 am stephansplatz bei der gegendemo zum ""marsch für das leben""

liebe… https://t.co/nPHvAfkKdc","               :                          :                                          ""        ü           ""

     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
201,In Emden startet an diesem Sonnabend der Emder Kultursommer. Auf dem Stephansplatz ist Partystimmung angesagt. https://t.co/OY1AG7EZqA,                                                           .                                                 .      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
205,"Nah bro 1,60 fürn Cheeseburger bei Mci stephansplatz is where I draw the line ich zieh in Wald jz","         ,    ü                                                                                  ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
206,Warum sind um 00:00 genauso viele Leute an Stephansplatz wie um 12:00,                :                                                 :  ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
207,RT @antifa_w: Morgen -Am Samstag wollen christliche Fundamentalist*innen wie jedes Jahr am Tag der #Pride ihre menscheinfeindliche Ideologi…,        -                                            *                                #                                       …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
208,"RT @antifa_wienwest: FUNDIS DIE HÖLLE HEISS MACHEN!

[via @nofundis_wien] 

Morgen, Samstag am 11.6. halten die Fundis ihre alljährliche Ge…","             ö                !

[     _    ] 

      ,              . .                            ä          …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
209,Morgen -Am Samstag wollen christliche Fundamentalist*innen wie jedes Jahr am Tag der #Pride ihre menscheinfeindlich… https://t.co/pslwYgrhhC,       -                                            *                                #                             …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
211,"@stch62 @ThomasWalach @YvonneWiesner Kein Wunder, wenn er angeleint über den Stephansplatz kriechen musste.","                   ,                   ü                                     .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
214,"FUNDIS DIE HÖLLE HEISS MACHEN!

[via @nofundis_wien] 

Morgen, Samstag am 11.6. halten die Fundis ihre alljährliche… https://t.co/SixXKFiTNI","            ö                !

[     _    ] 

      ,              . .                            ä       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
215,"Kommt um 13:30 zum Stephansplatz! 
Bringt Sonnenschutz, Sonnencreme und Regenschirme, es wird heiß! Vergesst auch n… https://t.co/OQzh6Ib2HP","           :                    ! 
                   ,                             ,            ß!                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
216,"RT @VickySpielfrau: Abtreibungsgegner:innen die Hölle heiß machen!

Am 11.6. marschieren christlich- fundamentalistische Abtreibungsgegner:…","                  :           ö       ß       !

     . .                       -                                      :…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
