,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
74,Die drei Demozüge treffen sich an der Autobahnbrücke der A5 südlich vom Erlensee und fahren von dort aus gemeinsam… https://t.co/nPwB93s1f8,              ü                                 ü            ü                                                    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
76,Der Samstag beim Streetfood-Festival in Delmenhorst https://t.co/2NrJo7zajy #kreisblatt #delmenhorst,                           -                             :// .  /           #           #           ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
79,das tragische is ja dass ich heute noch keinen einzigen Tropfen Alkohol getrunken hab und am Rathausplatz sind gefühlt alle stockbsoffen,                                                                                                                  ü                     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
85,Provokation direkt neben der Abschluss-Party der #ViennaPride: Die FPÖ-Jugendtruppe RFJ war zuerst beim rechten Fun… https://t.co/lwd6FduK1q,                                      -          #           :       ö-                                            …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
87,"Rechtsextreme willen unweit der Pride am Rathausplatz feiern, sie wurden von Gegendemomstrierenden erwartet. Polize… https://t.co/RhHlo53Pdl","                                                            ,                                              .       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
91,"Trotz Warnung hat die Polizei zwischen der Pride, die mittlerweile  am Rathausplatz angekommen ist, und dem RFJ Kel… https://t.co/zQX9OB6SJf","                                                ,                                                 ,                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
92,@Mattie0086 @darji8114 Wo präzise habe ich geschrieben dass er morgen um 16 Uhr auf dem Stuttgarter Rathausplatz ge… https://t.co/plEocTf09o,               ä                                                                                      …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
93,"Wien, Rathausplatz: Kommen Sie, kommen Sie! @ViennaPride #LGBTIQ 🏳️‍🌈🏳️‍⚧️ https://t.co/CzMO0CVh1l","    ,             :           ,           !   #       🏳️‍🌈🏳️‍⚧️      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
94,"RT @exxpressat: Von 15. bis 19. Juni dreht sich auf dem Wiener Rathausplatz alles um E-Mobiltät, neue Energie und einen nachhaltigen Lifest…","       .       .                                                       -      ä ,                                           …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
95,"Von 15. bis 19. Juni dreht sich auf dem Wiener Rathausplatz alles um E-Mobiltät, neue Energie und einen nachhaltige… https://t.co/qfLCjPjfDt","      .       .                                                       -      ä ,                                   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
96,Acoustic Fun Connection kommt nach #Dossenheim! Am 21. Juni spielen sie auf der Fête de la musique und sorgen für g… https://t.co/QKQ72u4L23,                                   #          !      .                           ê                             ü   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
